X: (Hz),Y: (A)
9.71667e+06,0.00471693
9.73333e+06,0.00886537
9.75e+06,0.00588335
9.76667e+06,0.00987878
9.78333e+06,0.00743656
9.8e+06,0.0098314
9.81667e+06,0.00811832
9.83333e+06,0.00806727
9.85e+06,0.00738772
9.86667e+06,0.00565674
9.88333e+06,0.00739178
9.9e+06,0.00490942
9.91667e+06,0.00861185
9.93333e+06,0.00534414
9.95e+06,0.00978672
9.96667e+06,0.00655077
9.98333e+06,0.0105435
1e+07,0.00697208
1.00167e+07,0.00904053
1.00333e+07,0.00689181
1.005e+07,0.00736232
1.00667e+07,0.00638486
1.00833e+07,0.00520596
1.01e+07,0.0066802
1.01167e+07,0.00511203
1.01333e+07,0.00811176
1.015e+07,0.00636345
1.01667e+07,0.0109521
1.01833e+07,0.00698237
1.02e+07,0.0108193
1.02167e+07,0.00610237
1.02333e+07,0.00923926
1.025e+07,0.00524582
1.02667e+07,0.00687862
1.02833e+07,0.00572387
1.03e+07,0.00611725
1.03167e+07,0.00654079
1.03333e+07,0.00636463
1.035e+07,0.00982832
1.03667e+07,0.00747473
1.03833e+07,0.0105994
1.04e+07,0.00738971
1.04167e+07,0.0100502
1.04333e+07,0.00536929
1.045e+07,0.00839826
1.04667e+07,0.00454422
1.04833e+07,0.00734918
1.05e+07,0.00499674
1.05167e+07,0.00697547
1.05333e+07,0.00800733
1.055e+07,0.00767111
1.05667e+07,0.00942093
1.05833e+07,0.00806204
1.06e+07,0.00961904
1.06167e+07,0.00631245
1.06333e+07,0.00905277
1.065e+07,0.00414802
1.06667e+07,0.00746886
1.06833e+07,0.00364365
1.07e+07,0.00736838
1.07167e+07,0.00540961
1.07333e+07,0.00849063
1.075e+07,0.00857801
1.07667e+07,0.00915723
1.07833e+07,0.00950999
1.08e+07,0.0082844
1.08167e+07,0.00925453
1.08333e+07,0.00548154
1.085e+07,0.00806235
1.08667e+07,0.00389147
1.08833e+07,0.00693604
1.09e+07,0.00403124
1.09167e+07,0.00828417
1.09333e+07,0.00645065
1.095e+07,0.00937112
1.09667e+07,0.00867367
1.09833e+07,0.0101188
1.1e+07,0.0090492
1.10167e+07,0.00778809
1.10333e+07,0.00793884
1.105e+07,0.00539414
1.10667e+07,0.00739237
1.10833e+07,0.00450069
1.11e+07,0.00724657
1.11167e+07,0.00443668
1.11333e+07,0.00896925
1.115e+07,0.00709236
1.11667e+07,0.0103649
1.11833e+07,0.00832774
1.12e+07,0.00970778
1.12167e+07,0.00704286
1.12333e+07,0.00730853
1.125e+07,0.00690636
